API Provider,Model Creator,Model,Version,Variant,Input Threshold,Input,Output,Input Cached,Input Cache Threshold,Input Cache Increment,Input Cache Storage,Output Cache,Pricing Page,Versions Page
OpenAI,OpenAI,GPT-4o,gpt-4o,default,0,2.5000000,10.0000000,1.2500000,1024,128,0.0000000,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o,gpt-4o,batch,0,1.2500000,5.0000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o,gpt-4o-2024-08-06,default,0,2.5000000,10.0000000,1.2500000,1024,128,0.0000000,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o,gpt-4o-2024-08-06,batch,0,1.2500000,5.0000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o,gpt-4o-audio-preview,default,0,2.5000000,10.0000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o,gpt-4o-audio-preview-2024-10-01,default,0,2.5000000,10.0000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o,gpt-4o-audio-preview-2024-10-01,default,0,100.0000000,200.0000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o,gpt-4o-2024-05-13,default,0,5.0000000,15.0000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o,gpt-4o-2024-05-13,batch,0,2.5000000,7.5000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o mini,gpt-4o-mini,default,0,0.1500000,0.6000000,0.0750000,1024,128,0.0000000,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o mini,gpt-4o-mini,batch,0,0.0750000,0.3000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o mini,gpt-4o-mini--2024-07-18,default,0,0.1500000,0.6000000,0.0750000,1024,128,0.0000000,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,GPT-4o mini,gpt-4o-mini--2024-07-18,batch,0,0.0750000,0.3000000,n/a,1024,128,n/a,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,OpenAI o1-preview,o1-preview,default,0,15.0000000,60.0000000,7.5000000,1024,128,0.0000000,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,OpenAI o1-preview,o1-preview-2024-09-12,default,0,15.0000000,60.0000000,7.5000000,1024,128,0.0000000,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,OpenAI o1-mini,o1-mini,default,0,3.0000000,12.0000000,1.5000000,1024,128,0.0000000,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
OpenAI,OpenAI,OpenAI o1-mini,o1-mini-2024-09-12,default,0,3.0000000,12.0000000,1.5000000,1024,128,0.0000000,0,https://openai.com/api/pricing/,https://platform.openai.com/docs/models
Google,Google,Gemini 1.5 Flash,gemini-1.5-flash,default,0,0.0187500,0.0750000,0.0046875,0,1,0.2500000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
Google,Google,Gemini 1.5 Flash,gemini-1.5-flash,default,128001,0.0375000,0.0750000,0.0093750,0,1,0.2500000,0,https://cloud.google.com/vertex-ai/generative-ai/pricing,https://ai.google.dev/gemini-api/docs/models/gemini
